Customer_ID,Age,Gender,Days_Since_Last_Purchase,CLTV,Avg_Txn_Value,Fav_Category,Return_Rate,Fav_Payment_Method,Churn
37795,62,Male,177,14044,2340.6666666666665,Clothing,0.5,Cash,0
4553,19,Female,323,17693,2948.8333333333335,Clothing,0.0,PayPal,0
6656,19,Female,200,18171,2595.8571428571427,Clothing,0.42857142857142855,PayPal,0
45727,61,Female,124,20313,2539.125,Home,0.25,PayPal,0
5243,70,Male,215,14159,2359.8333333333335,Books,0.3333333333333333,PayPal,1
32153,28,Female,372,15587,3896.75,Electronics,0.5,Cash,0
46689,34,Female,62,29013,2901.3,Home,0.9,Credit Card,0
8034,30,Male,492,23099,2887.375,Books,0.25,Credit Card,1
49818,67,Female,392,29287,3660.875,Books,0.5,Credit Card,0
37983,67,Male,575,6606,2202.0,Home,0.3333333333333333,PayPal,0
13184,62,Female,411,18846,3141.0,Clothing,0.5,Credit Card,0
23699,59,Male,131,20743,2304.777777777778,Electronics,0.6666666666666666,PayPal,1
15531,34,Female,282,4081,1360.3333333333333,Books,0.0,Cash,0
33338,58,Male,491,14476,2895.2,Home,0.8,PayPal,1
25314,42,Male,498,11605,2321.0,Clothing,0.6,Credit Card,0
8086,39,Male,195,23281,2328.1,Books,0.5,PayPal,0
46717,44,Female,842,13630,4543.333333333333,Clothing,0.3333333333333333,PayPal,0
37332,65,Female,306,37509,3750.9,Books,0.6,Credit Card,0
48175,51,Male,238,20944,2618.0,Books,0.375,Cash,0
10481,61,Male,712,21952,3658.6666666666665,Electronics,0.5,Credit Card,0
42500,43,Female,290,25553,2839.222222222222,Clothing,0.4444444444444444,Cash,0
45465,58,Female,90,22173,2771.625,Books,0.25,Cash,0
18433,60,Male,266,6549,2183.0,Books,0.6666666666666666,PayPal,0
12338,21,Female,143,22564,3760.6666666666665,Clothing,0.6666666666666666,PayPal,1
9606,51,Male,1021,10804,2701.0,Books,0.0,Credit Card,0
44513,21,Female,165,10481,3493.6666666666665,Books,0.3333333333333333,Cash,0
7048,18,Male,165,6268,1567.0,Clothing,0.5,PayPal,0
7805,35,Female,173,20654,2581.75,Books,0.5,Credit Card,0
10762,60,Male,194,15084,1676.0,Books,0.2222222222222222,Credit Card,0
4272,44,Female,372,10720,2680.0,Clothing,0.0,Cash,0
11069,23,Female,216,5581,1116.2,Home,0.4,Cash,0
46183,69,Female,216,16255,2709.1666666666665,Books,0.3333333333333333,Cash,0
13534,54,Male,191,15103,1887.875,Books,0.5,Cash,0
1298,61,Male,390,21193,3027.5714285714284,Home,0.14285714285714285,PayPal,0
5616,48,Male,306,20990,3498.3333333333335,Electronics,0.3333333333333333,PayPal,0
38546,41,Female,487,9973,2493.25,Books,0.5,Credit Card,0
35164,58,Female,269,30017,3001.7,Home,0.5,PayPal,1
29493,67,Male,340,11827,2365.4,Home,0.8,Credit Card,0
20394,61,Female,236,14577,2915.4,Electronics,0.8,Cash,0
25141,37,Female,382,17695,3539.0,Books,0.2,PayPal,0
28484,25,Female,237,24079,3439.8571428571427,Clothing,0.5714285714285714,Cash,0
19647,37,Male,387,20297,3382.8333333333335,Books,0.3333333333333333,Credit Card,1
41953,69,Female,37,18667,3111.1666666666665,Clothing,0.6666666666666666,Cash,0
34666,26,Female,165,4896,1632.0,Books,0.6666666666666666,Credit Card,0
48259,42,Female,161,16850,2808.3333333333335,Clothing,0.5,Cash,0
38905,38,Male,373,15838,2639.6666666666665,Clothing,0.3333333333333333,Credit Card,0
353,33,Female,333,19498,2785.4285714285716,Clothing,0.5714285714285714,Cash,1
2159,69,Female,308,16315,2719.1666666666665,Books,0.16666666666666666,Credit Card,0
6704,58,Male,32,23347,2594.1111111111113,Home,0.5555555555555556,Cash,0
32343,44,Male,652,13073,2614.6,Clothing,0.8,Cash,1
15543,57,Male,123,7996,1999.0,Books,0.5,Credit Card,0
29419,57,Female,316,16943,2823.8333333333335,Books,0.5,Credit Card,0
42327,20,Female,213,24927,3561.0,Books,0.5714285714285714,Cash,1
19293,46,Female,435,8983,2994.3333333333335,Clothing,0.6666666666666666,Credit Card,0
24863,43,Male,120,14385,2397.5,Clothing,0.3333333333333333,Cash,0
42859,68,Female,120,22659,2517.6666666666665,Books,0.1111111111111111,Cash,1
1364,24,Female,129,28502,3562.75,Electronics,0.375,Credit Card,0
3494,51,Female,33,21398,3056.8571428571427,Books,0.42857142857142855,Credit Card,0
4807,59,Female,586,20836,2976.5714285714284,Books,0.2857142857142857,Cash,0
11116,66,Female,185,24761,4126.833333333333,Home,0.8333333333333334,Cash,0
1975,51,Male,250,17778,2539.714285714286,Books,0.2857142857142857,PayPal,0
27690,57,Female,304,9823,1637.1666666666667,Books,0.16666666666666666,PayPal,0
39126,61,Male,238,11961,3987.0,Books,0.6666666666666666,Cash,0
10016,57,Female,172,15232,3808.0,Clothing,0.5,Cash,0
37527,41,Male,183,23354,2594.8888888888887,Electronics,0.7777777777777778,PayPal,1
48220,51,Female,146,7854,2618.0,Clothing,0.6666666666666666,Cash,1
21954,21,Female,120,18042,2577.4285714285716,Home,0.42857142857142855,Cash,0
46055,41,Female,358,17439,4359.75,Books,0.5,PayPal,0
10125,19,Male,191,13251,4417.0,Electronics,0.6666666666666666,Cash,0
22074,57,Male,418,27323,3035.8888888888887,Electronics,0.4444444444444444,Cash,0
35531,39,Female,189,17511,3502.2,Electronics,0.8,Cash,0
1193,44,Female,723,21873,2187.3,Books,0.2,Cash,0
21703,49,Female,282,21055,3509.1666666666665,Books,0.6666666666666666,PayPal,0
27337,48,Female,142,10713,1530.4285714285713,Books,0.8571428571428571,Credit Card,1
10458,65,Female,580,16560,2365.714285714286,Electronics,0.42857142857142855,Cash,0
15399,39,Female,347,27589,3448.625,Electronics,0.5,Cash,0
18400,36,Male,58,16313,2330.4285714285716,Electronics,0.8571428571428571,PayPal,0
48711,65,Female,184,26123,2902.5555555555557,Clothing,0.5555555555555556,Credit Card,0
7090,37,Female,221,21497,3582.8333333333335,Electronics,0.3333333333333333,Credit Card,0
24534,54,Male,305,20738,3456.3333333333335,Clothing,0.8333333333333334,Credit Card,0
2521,50,Male,292,20931,2325.6666666666665,Electronics,0.6666666666666666,PayPal,0
5837,68,Male,354,18775,3129.1666666666665,Books,0.5,Credit Card,0
4487,34,Female,213,13237,2647.4,Electronics,0.4,Credit Card,1
28778,25,Male,226,18146,2592.285714285714,Electronics,0.2857142857142857,PayPal,0
26860,53,Male,637,13903,3475.75,Home,0.25,PayPal,1
23168,57,Female,474,14422,2884.4,Clothing,0.8,Cash,0
27357,65,Female,458,26460,3307.5,Home,0.375,Credit Card,0
6795,65,Male,67,25204,2800.4444444444443,Books,0.4444444444444444,Cash,0
6320,25,Male,296,20145,2238.3333333333335,Books,0.2222222222222222,Cash,0
49031,53,Female,692,17120,3424.0,Clothing,0.6,Cash,0
9798,19,Female,222,22898,2862.25,Electronics,0.5,Cash,0
14425,54,Male,142,13960,3490.0,Books,0.0,Credit Card,0
35940,33,Male,566,12841,4280.333333333333,Books,0.3333333333333333,Cash,0
4098,52,Female,303,5315,2657.5,Books,0.5,Cash,0
14875,67,Male,694,9720,3240.0,Electronics,0.3333333333333333,Cash,1
33471,30,Female,195,26274,2919.3333333333335,Home,0.3333333333333333,Credit Card,1
6003,60,Female,575,1178,1178.0,Clothing,0.0,Cash,0
41194,54,Female,165,25914,3239.25,Electronics,0.625,Credit Card,0
38837,54,Female,286,10883,2720.75,Electronics,0.0,Cash,1
22451,52,Female,265,12328,1369.7777777777778,Books,0.1111111111111111,Cash,0
18896,55,Female,273,7965,2655.0,Books,0.6666666666666666,PayPal,0
8937,19,Male,367,5165,2582.5,Clothing,0.5,Cash,0
30778,32,Male,384,9280,3093.3333333333335,Books,0.6666666666666666,PayPal,0
48283,50,Female,202,14351,2870.2,Books,0.4,Cash,0
48313,19,Female,94,8897,2965.6666666666665,Clothing,0.3333333333333333,Cash,1
7832,43,Male,156,20262,2894.5714285714284,Books,0.5714285714285714,PayPal,0
19150,20,Male,229,10493,2623.25,Books,0.25,PayPal,0
35194,40,Female,455,14528,2421.3333333333335,Books,0.5,Cash,0
28994,51,Female,403,19975,3329.1666666666665,Clothing,0.5,PayPal,0
14579,42,Female,282,17887,3577.4,Home,0.4,Cash,1
45612,49,Male,116,16800,2400.0,Books,0.42857142857142855,Cash,0
20426,26,Female,126,10796,2699.0,Books,0.75,PayPal,0
43648,35,Female,246,12084,3021.0,Electronics,0.5,Credit Card,0
6460,56,Male,155,26188,2380.7272727272725,Clothing,0.18181818181818182,PayPal,0
37543,23,Female,163,14509,2418.1666666666665,Clothing,0.3333333333333333,Cash,0
6501,42,Female,822,8109,2703.0,Books,1.0,PayPal,0
4919,20,Male,246,12977,3244.25,Electronics,0.25,Credit Card,0
5538,31,Female,375,7906,1976.5,Books,0.25,Cash,0
9687,64,Female,175,10257,2051.4,Books,0.6,Cash,0
33654,31,Male,946,4016,2008.0,Books,0.0,Cash,0
45363,69,Female,409,9332,2333.0,Clothing,0.5,Cash,0
5737,56,Male,290,6312,2104.0,Clothing,0.6666666666666666,Credit Card,0
41540,68,Female,399,17625,2517.8571428571427,Clothing,0.14285714285714285,PayPal,1
31507,31,Male,31,12136,2427.2,Clothing,0.4,Credit Card,0
41334,42,Female,374,14896,2979.2,Clothing,0.4,Cash,0
47129,41,Male,222,25512,2834.6666666666665,Electronics,0.4444444444444444,Cash,0
5423,60,Male,282,14606,2921.2,Electronics,0.6,Cash,1
28317,51,Male,229,34436,2869.6666666666665,Home,0.3333333333333333,Cash,0
41740,44,Female,414,28149,3518.625,Books,0.375,Credit Card,0
28540,19,Female,667,15047,3009.4,Books,0.0,Cash,0
46971,21,Male,31,19341,2417.625,Electronics,0.5,Cash,0
4576,40,Female,176,13494,2249.0,Electronics,0.3333333333333333,PayPal,0
21401,63,Female,464,14406,2058.0,Clothing,0.7142857142857143,Cash,0
41933,69,Female,334,25920,2880.0,Books,0.2222222222222222,Credit Card,0
16121,58,Female,162,16216,2316.5714285714284,Clothing,0.42857142857142855,PayPal,0
27735,41,Male,126,23972,2996.5,Home,0.375,Cash,0
9101,56,Male,501,8078,2692.6666666666665,Clothing,0.3333333333333333,PayPal,0
18868,24,Female,427,16870,2108.75,Books,0.625,Cash,1
27530,40,Female,268,11833,2366.6,Books,0.2,Credit Card,0
22092,30,Female,94,18327,2618.1428571428573,Books,0.14285714285714285,Cash,0
40530,56,Male,64,17354,3470.8,Electronics,0.4,Credit Card,0
23892,67,Female,376,18474,3694.8,Books,0.6,Credit Card,1
15657,30,Male,308,11472,3824.0,Electronics,1.0,Cash,0
11397,60,Male,221,15609,2601.5,Electronics,0.5,PayPal,0
46942,62,Female,61,23081,3297.285714285714,Books,0.14285714285714285,Credit Card,0
48430,24,Male,116,8213,1368.8333333333333,Books,0.5,Cash,0
23587,43,Female,170,15180,3036.0,Clothing,0.6,Cash,0
40328,42,Male,509,13885,2314.1666666666665,Books,0.8333333333333334,Cash,0
30365,64,Male,265,26549,2654.9,Home,0.2,Cash,0
19502,70,Female,247,23574,2946.75,Home,0.25,Cash,1
24472,48,Female,392,14428,2404.6666666666665,Home,0.16666666666666666,Cash,0
28667,67,Male,95,24018,2668.6666666666665,Books,0.3333333333333333,PayPal,0
44907,30,Male,293,13962,2792.4,Books,0.4,Credit Card,0
23706,40,Male,126,17819,2545.5714285714284,Clothing,0.5714285714285714,Credit Card,0
30960,25,Female,90,17904,2238.0,Books,0.5,Cash,0
29541,43,Male,140,23985,2665.0,Home,0.5555555555555556,Cash,0
6004,41,Female,420,17600,3520.0,Home,0.6,Cash,0
18407,64,Male,61,28327,2832.7,Clothing,0.7,PayPal,0
25522,33,Female,190,29780,3308.8888888888887,Electronics,0.4444444444444444,PayPal,0
14025,63,Female,176,12441,2488.2,Clothing,0.4,Cash,0
4563,55,Male,182,24564,3509.1428571428573,Electronics,0.2857142857142857,Credit Card,0
48651,25,Male,370,22575,3225.0,Electronics,0.42857142857142855,Credit Card,0
22230,32,Female,172,14892,2127.4285714285716,Books,0.2857142857142857,PayPal,0
2041,58,Female,212,13897,1985.2857142857142,Books,0.42857142857142855,Cash,0
45961,68,Female,187,21051,3007.285714285714,Home,0.2857142857142857,PayPal,0
32218,66,Male,218,15123,2160.4285714285716,Books,0.5714285714285714,Cash,0
14200,62,Female,219,13426,3356.5,Home,0.0,Cash,0
6553,51,Female,441,21796,3113.714285714286,Clothing,0.5714285714285714,PayPal,1
2741,59,Female,167,11099,2219.8,Books,0.6,Credit Card,1
24939,63,Male,421,28084,2808.4,Home,0.4,Cash,0
43220,70,Female,832,17825,3565.0,Electronics,0.2,PayPal,1
36131,23,Male,257,16797,3359.4,Clothing,0.4,PayPal,0
10204,39,Male,387,15813,2259.0,Books,0.5714285714285714,Cash,0
12800,69,Female,121,28599,2383.25,Clothing,0.5,Credit Card,0
33873,66,Male,543,11382,2845.5,Books,0.5,Cash,0
10112,31,Male,191,17820,2970.0,Home,0.0,Credit Card,0
31367,54,Male,36,16032,2672.0,Home,0.5,PayPal,0
32820,58,Male,310,8064,2688.0,Clothing,0.3333333333333333,PayPal,0
516,35,Male,273,17779,2963.1666666666665,Home,0.5,Cash,1
16322,41,Female,264,17226,3445.2,Home,0.0,Credit Card,1
9244,34,Male,274,19377,2768.1428571428573,Clothing,0.5714285714285714,Cash,0
22062,40,Male,191,31214,2601.1666666666665,Clothing,0.4166666666666667,PayPal,0
47531,42,Female,219,23219,3317.0,Books,0.2857142857142857,Credit Card,0
32198,24,Male,127,9167,2291.75,Books,0.25,Credit Card,1
27048,51,Female,482,10180,2545.0,Electronics,0.5,Credit Card,0
38272,67,Male,161,9924,1984.8,Clothing,0.6,Credit Card,1
34034,58,Female,571,17992,2570.285714285714,Electronics,0.0,Cash,0
47567,54,Male,188,28729,3192.1111111111113,Home,0.2222222222222222,Credit Card,0
29947,63,Female,255,15736,3147.2,Books,0.6,Credit Card,0
32848,29,Male,940,13671,2278.5,Books,0.3333333333333333,PayPal,0
15944,69,Female,736,7428,2476.0,Books,0.6666666666666666,PayPal,0
5638,26,Male,441,6347,1269.4,Electronics,0.6,PayPal,0
21725,65,Male,381,22675,2519.4444444444443,Books,0.5555555555555556,Cash,0
33577,54,Male,277,16960,3392.0,Home,0.2,Cash,0
42926,19,Female,246,14925,2985.0,Clothing,0.0,Cash,1
44135,51,Male,491,21512,3073.1428571428573,Home,0.2857142857142857,PayPal,0
17972,25,Female,203,12791,2558.2,Books,0.2,Cash,0
3739,24,Male,327,20178,2882.5714285714284,Books,0.42857142857142855,Credit Card,0
19900,57,Female,219,11374,2274.8,Home,0.0,Cash,0
20152,51,Female,177,17810,2226.25,Home,0.5,Cash,0
7621,27,Male,195,12900,3225.0,Books,0.25,Cash,0
19310,31,Female,236,6655,2218.3333333333335,Books,0.0,Credit Card,1
5919,67,Male,803,14419,2883.8,Books,0.2,Credit Card,0
32089,44,Male,129,32712,2973.818181818182,Home,0.36363636363636365,Credit Card,1
35836,25,Female,154,16149,2691.5,Books,0.5,Cash,0
23803,55,Female,283,7897,2632.3333333333335,Electronics,0.6666666666666666,Cash,0
41858,32,Female,439,7380,2460.0,Electronics,0.6666666666666666,Cash,0
19120,20,Male,207,8873,2218.25,Books,0.5,Cash,0
2095,55,Male,553,4386,2193.0,Electronics,0.0,Credit Card,0
35432,48,Male,281,9550,1910.0,Clothing,0.6,Credit Card,1
47171,50,Male,322,18361,3672.2,Books,0.4,Cash,0
39751,49,Female,185,10197,2039.4,Books,0.4,Cash,0
35734,38,Male,222,16066,2677.6666666666665,Clothing,0.6666666666666666,Cash,0
44599,43,Male,30,15224,2537.3333333333335,Books,0.3333333333333333,Credit Card,0
2408,43,Female,124,13436,2687.2,Home,0.2,Credit Card,0
1276,66,Male,127,14773,2462.1666666666665,Electronics,0.6666666666666666,Cash,1
35906,49,Female,93,14992,2498.6666666666665,Clothing,0.16666666666666666,Credit Card,0
7448,44,Male,380,13598,3399.5,Clothing,0.25,Credit Card,1
35264,48,Female,583,14779,2463.1666666666665,Home,0.3333333333333333,Credit Card,0
27534,59,Female,31,20337,2542.125,Home,0.375,PayPal,0
6058,19,Female,219,14505,2901.0,Books,0.0,Credit Card,1
37649,19,Male,347,11877,1979.5,Clothing,0.3333333333333333,Credit Card,0
39875,59,Female,519,10703,2675.75,Electronics,0.25,Cash,0
16962,47,Female,150,22775,2530.5555555555557,Books,0.2222222222222222,Cash,0
24798,49,Female,255,24851,2761.222222222222,Clothing,0.3333333333333333,PayPal,0
13856,64,Female,153,15672,3134.4,Books,0.6,Credit Card,0
5612,53,Male,494,15283,2547.1666666666665,Clothing,0.5,PayPal,0
36170,33,Female,290,15386,2564.3333333333335,Clothing,0.6666666666666666,PayPal,0
5309,19,Female,979,12384,2476.8,Home,0.2,Cash,0
13161,46,Male,136,10029,2507.25,Books,0.25,Credit Card,0
34275,29,Female,151,23016,3288.0,Home,0.42857142857142855,PayPal,0
17430,50,Male,412,21362,2670.25,Books,0.5,Cash,0
33582,52,Female,959,12871,3217.75,Clothing,0.0,Credit Card,0
33102,23,Male,288,20025,2503.125,Home,0.5,PayPal,1
27791,26,Male,207,14193,2838.6,Books,0.2,Credit Card,0
11987,62,Male,1150,6261,3130.5,Home,0.5,Cash,0
26378,28,Female,174,36589,3049.0833333333335,Home,0.25,Credit Card,0
39258,48,Male,244,19140,2126.6666666666665,Electronics,0.4444444444444444,Cash,0
15627,69,Female,200,19901,2487.625,Electronics,0.125,Cash,0
15992,43,Male,288,13803,2760.6,Clothing,0.8,Credit Card,0
14936,33,Female,830,11177,2235.4,Books,0.2,PayPal,0
45089,25,Male,97,42701,3881.909090909091,Electronics,0.36363636363636365,PayPal,0
13613,42,Female,31,15720,2245.714285714286,Books,0.42857142857142855,PayPal,0
43194,45,Female,231,20792,3465.3333333333335,Home,0.3333333333333333,Cash,0
25033,53,Female,660,12803,3200.75,Home,0.25,PayPal,0
36668,41,Male,132,12320,2464.0,Books,0.6,Cash,0
32179,43,Male,343,19711,3942.2,Electronics,0.6,Cash,0
19977,42,Male,67,16394,3278.8,Books,0.4,Cash,0
25350,46,Female,324,16946,2420.8571428571427,Clothing,0.8571428571428571,Cash,0
49611,63,Male,143,20816,2602.0,Electronics,0.625,PayPal,1
28212,38,Male,396,17541,2192.625,Books,0.25,Credit Card,0
41930,52,Female,781,19180,3196.6666666666665,Home,0.16666666666666666,Cash,1
15471,45,Female,123,20684,2585.5,Clothing,0.375,Cash,0
26786,23,Male,144,24994,3124.25,Home,0.5,Credit Card,1
48573,27,Female,319,29898,3322.0,Home,0.4444444444444444,Credit Card,0
36163,65,Female,162,27069,3383.625,Clothing,0.25,Cash,0
32454,61,Male,174,14878,2479.6666666666665,Electronics,0.3333333333333333,Cash,0
17023,43,Male,311,12679,2113.1666666666665,Electronics,0.16666666666666666,Cash,0
41760,25,Female,143,5070,1267.5,Home,0.5,PayPal,0
34377,31,Male,471,10269,2053.8,Books,0.2,PayPal,1
23632,45,Female,365,11621,2905.25,Clothing,0.25,PayPal,0
27943,67,Male,353,18606,2658.0,Home,0.7142857142857143,PayPal,0
37155,57,Male,248,10861,1810.1666666666667,Books,0.5,Cash,0
26143,18,Male,264,8040,4020.0,Electronics,0.5,Cash,0
48906,37,Female,292,25674,3209.25,Electronics,0.75,Credit Card,1
1257,52,Male,663,6302,2100.6666666666665,Electronics,0.6666666666666666,Cash,1
27598,46,Female,370,8757,1751.4,Electronics,0.2,Cash,0
35976,24,Female,372,12938,1848.2857142857142,Electronics,0.42857142857142855,Credit Card,0
49689,28,Male,666,15365,3073.0,Books,0.8,Cash,0
34730,61,Female,138,23436,3906.0,Electronics,0.3333333333333333,Credit Card,0
15476,48,Female,125,11763,1680.4285714285713,Books,0.5714285714285714,Cash,0
25893,68,Male,125,17949,2991.5,Home,0.3333333333333333,Cash,0
29399,53,Male,650,15877,3175.4,Electronics,0.0,Cash,0
16228,39,Female,931,15273,3818.25,Home,0.75,Credit Card,1
25261,48,Male,197,21357,2669.625,Books,0.125,Cash,0
32488,53,Male,139,12899,2579.8,Clothing,0.2,PayPal,0
16741,20,Male,134,19261,2140.1111111111113,Home,0.5555555555555556,Cash,0
46213,24,Male,731,12920,3230.0,Electronics,0.5,Credit Card,0
37151,52,Female,116,25072,2507.2,Clothing,0.5,Cash,1
31422,50,Female,266,13287,2214.5,Clothing,0.3333333333333333,Cash,0
6041,59,Female,234,25546,3193.25,Clothing,0.25,Credit Card,0
1423,30,Female,177,21608,3601.3333333333335,Clothing,0.6666666666666666,Cash,0
31447,60,Male,823,4715,1571.6666666666667,Books,0.0,PayPal,0
4021,46,Male,396,18363,2295.375,Electronics,0.25,Credit Card,0
43935,56,Female,98,11130,2782.5,Clothing,0.25,Credit Card,0
49546,35,Female,314,4241,2120.5,Books,0.0,Cash,0
15963,23,Female,525,10130,2026.0,Home,0.6,Credit Card,0
43026,70,Female,29,20528,4105.6,Books,0.4,Credit Card,0
41326,35,Male,32,24459,3057.375,Books,0.25,Cash,0
40886,21,Female,452,16709,2784.8333333333335,Books,0.6666666666666666,Cash,0
3535,35,Female,331,20269,3378.1666666666665,Clothing,0.16666666666666666,Credit Card,0
27494,59,Female,223,14461,2892.2,Home,0.6,Credit Card,0
33757,33,Male,225,14576,2429.3333333333335,Books,0.3333333333333333,Credit Card,0
41607,50,Female,828,14798,3699.5,Books,0.5,Cash,0
21120,54,Female,310,8897,2965.6666666666665,Home,0.6666666666666666,Cash,0
25095,20,Male,30,24775,2252.2727272727275,Home,0.6363636363636364,Credit Card,0
35731,29,Female,186,16472,3294.4,Books,0.4,PayPal,1
18820,51,Male,426,12689,2537.8,Clothing,0.8,Cash,0
28427,50,Male,115,12618,2103.0,Clothing,0.5,PayPal,0
9645,39,Female,351,21096,3516.0,Books,0.16666666666666666,Credit Card,0
18815,21,Female,497,16232,3246.4,Electronics,0.6,Cash,0
26070,41,Female,339,7654,1530.8,Clothing,0.6,Credit Card,0
45532,30,Male,160,3040,1520.0,Books,1.0,Cash,0
277,28,Male,256,15709,2244.1428571428573,Books,0.2857142857142857,Cash,0
45479,27,Male,413,13310,2218.3333333333335,Clothing,0.6666666666666666,PayPal,0
16645,26,Female,376,6072,1518.0,Home,0.75,Credit Card,0
27832,39,Female,30,36252,4028.0,Books,0.3333333333333333,PayPal,0
26273,22,Female,422,12384,2064.0,Books,0.8333333333333334,Cash,1
34619,47,Male,143,24561,3070.125,Electronics,0.25,PayPal,0
30524,64,Male,324,16083,2297.5714285714284,Electronics,0.8571428571428571,Cash,0
4155,64,Male,438,24001,3000.125,Books,0.25,PayPal,0
10559,18,Male,403,14634,2926.8,Clothing,0.2,Cash,1
18402,52,Female,226,18797,2088.5555555555557,Clothing,0.4444444444444444,Cash,0
33650,29,Male,380,11564,2312.8,Books,0.2,Cash,0
15199,70,Male,442,15285,2547.5,Books,0.6666666666666666,Cash,0
29736,56,Male,162,19615,3269.1666666666665,Electronics,0.16666666666666666,Credit Card,1
41493,38,Male,176,10470,1745.0,Books,0.16666666666666666,PayPal,0
17446,29,Female,238,11177,2794.25,Clothing,0.5,Credit Card,0
13394,39,Male,413,22251,3178.714285714286,Clothing,0.5714285714285714,Cash,0
37144,19,Female,276,23876,2984.5,Electronics,0.625,PayPal,0
39457,20,Female,217,19680,2186.6666666666665,Clothing,0.1111111111111111,Cash,0
40210,35,Male,187,15172,3034.4,Books,0.4,Credit Card,1
13861,60,Female,201,15312,2552.0,Books,0.5,Credit Card,0
32516,64,Male,433,16919,2819.8333333333335,Clothing,0.5,Cash,0
2391,47,Male,762,16141,3228.2,Clothing,0.0,Credit Card,0
10512,47,Male,177,24922,2492.2,Books,0.5,Credit Card,0
26213,35,Female,723,14168,3542.0,Books,0.25,PayPal,0
19405,61,Male,186,9640,1606.6666666666667,Clothing,0.3333333333333333,Cash,1
13297,34,Female,573,14997,2142.4285714285716,Books,0.5714285714285714,PayPal,0
8764,24,Female,160,7760,1940.0,Home,0.25,PayPal,1
36229,37,Female,499,16790,2398.5714285714284,Home,0.2857142857142857,Cash,0
1380,36,Male,296,11204,2801.0,Electronics,0.75,Cash,0
12705,22,Male,297,15368,3073.6,Electronics,0.4,Credit Card,0
1212,23,Male,434,20396,2549.5,Clothing,0.125,Cash,0
9947,60,Male,167,31244,3471.5555555555557,Clothing,0.4444444444444444,Credit Card,0
